topology,iteration,train_median_num_pairs_retained,test_median_num_pairs_retained,train_accuracy,test_accuracy,roc_auc_test,aps,confusion_matrix,classifier_path,cder_models_path,runtime
HEEH,8,"{'train_h_0_pairs': {'green': 713.5, 'red': 695.0}, 'train_h_1_pairs': {'green': 1085.0, 'red': 1026.5}, 'train_h_2_pairs': {'green': 733.5, 'red': 692.0}}","{'test_h_0_pairs': {'green': 713.5, 'red': 689.5}, 'test_h_1_pairs': {'green': 1094.0, 'red': 1030.5}, 'test_h_2_pairs': {'green': 764.0, 'red': 680.5}}",0.851063829787234,0.9166666666666666,0.9479166666666666,0.9371960966907712,"[[21  3]
 [ 1 23]]",classifiers/HEEH_cder_rf_clf_gs_8.pickle,"['cder_models/HEEH_cder_h0_model_iteration_8.pickle', 'cder_models/HEEH_cder_h1_model_iteration_8.pickle', 'cder_models/HEEH_cder_h2_model_iteration_8.pickle']",472.7545530796051
HEEH,9,"{'train_h_0_pairs': {'green': 711.0, 'red': 693.0}, 'train_h_1_pairs': {'green': 1085.5, 'red': 1030.0}, 'train_h_2_pairs': {'green': 736.5, 'red': 687.5}}","{'test_h_0_pairs': {'green': 722.0, 'red': 693.0}, 'test_h_1_pairs': {'green': 1090.0, 'red': 1026.0}, 'test_h_2_pairs': {'green': 726.5, 'red': 694.0}}",0.8723404255319149,0.8125,0.8645833333333335,0.7798220163163502,"[[19  5]
 [ 4 20]]",classifiers/HEEH_cder_rf_clf_gs_9.pickle,"['cder_models/HEEH_cder_h0_model_iteration_9.pickle', 'cder_models/HEEH_cder_h1_model_iteration_9.pickle', 'cder_models/HEEH_cder_h2_model_iteration_9.pickle']",440.60187125205994
EHEE,0,"{'train_h_0_pairs': {'green': 668.0, 'red': 656.0}, 'train_h_1_pairs': {'green': 1010.0, 'red': 972.0}, 'train_h_2_pairs': {'green': 668.0, 'red': 622.0}}","{'test_h_0_pairs': {'green': 667.0, 'red': 659.0}, 'test_h_1_pairs': {'green': 1004.0, 'red': 972.0}, 'test_h_2_pairs': {'green': 661.5, 'red': 625.0}}",0.9189686924493554,0.8051470588235294,0.8793793252595156,0.8994045150033069,"[[107  29]
 [ 24 112]]",classifiers/EHEE_cder_rf_clf_gs_0.pickle,"['cder_models/EHEE_cder_h0_model_iteration_0.pickle', 'cder_models/EHEE_cder_h1_model_iteration_0.pickle', 'cder_models/EHEE_cder_h2_model_iteration_0.pickle']",7763.178118944168
EHEE,1,"{'train_h_0_pairs': {'green': 668.0, 'red': 657.0}, 'train_h_1_pairs': {'green': 1008.0, 'red': 972.0}, 'train_h_2_pairs': {'green': 667.0, 'red': 621.0}}","{'test_h_0_pairs': {'green': 666.0, 'red': 655.0}, 'test_h_1_pairs': {'green': 1009.0, 'red': 971.5}, 'test_h_2_pairs': {'green': 662.5, 'red': 625.5}}",0.8858195211786372,0.8345588235294118,0.9209558823529411,0.9257248393590858,"[[114  22]
 [ 23 113]]",classifiers/EHEE_cder_rf_clf_gs_1.pickle,"['cder_models/EHEE_cder_h0_model_iteration_1.pickle', 'cder_models/EHEE_cder_h1_model_iteration_1.pickle', 'cder_models/EHEE_cder_h2_model_iteration_1.pickle']",7004.466758012772
EHEE,2,"{'train_h_0_pairs': {'green': 668.0, 'red': 657.0}, 'train_h_1_pairs': {'green': 1008.0, 'red': 972.0}, 'train_h_2_pairs': {'green': 667.0, 'red': 622.0}}","{'test_h_0_pairs': {'green': 668.0, 'red': 656.0}, 'test_h_1_pairs': {'green': 1009.0, 'red': 973.0}, 'test_h_2_pairs': {'green': 662.5, 'red': 622.0}}",0.8848987108655617,0.8088235294117647,0.8960856401384083,0.9109146463426374,"[[107  29]
 [ 23 113]]",classifiers/EHEE_cder_rf_clf_gs_2.pickle,"['cder_models/EHEE_cder_h0_model_iteration_2.pickle', 'cder_models/EHEE_cder_h1_model_iteration_2.pickle', 'cder_models/EHEE_cder_h2_model_iteration_2.pickle']",8557.174785375595
EHEE,3,"{'train_h_0_pairs': {'green': 667.0, 'red': 656.0}, 'train_h_1_pairs': {'green': 1009.0, 'red': 973.0}, 'train_h_2_pairs': {'green': 667.0, 'red': 622.0}}","{'test_h_0_pairs': {'green': 669.0, 'red': 657.0}, 'test_h_1_pairs': {'green': 1006.5, 'red': 970.0}, 'test_h_2_pairs': {'green': 662.0, 'red': 617.5}}",0.8627992633517495,0.8125,0.9011678200692042,0.8945503501155758,"[[109  27]
 [ 24 112]]",classifiers/EHEE_cder_rf_clf_gs_3.pickle,"['cder_models/EHEE_cder_h0_model_iteration_3.pickle', 'cder_models/EHEE_cder_h1_model_iteration_3.pickle', 'cder_models/EHEE_cder_h2_model_iteration_3.pickle']",8479.75943017006
EHEE,4,"{'train_h_0_pairs': {'green': 668.0, 'red': 656.0}, 'train_h_1_pairs': {'green': 1009.0, 'red': 971.0}, 'train_h_2_pairs': {'green': 666.0, 'red': 621.0}}","{'test_h_0_pairs': {'green': 665.5, 'red': 657.0}, 'test_h_1_pairs': {'green': 1005.5, 'red': 977.0}, 'test_h_2_pairs': {'green': 664.5, 'red': 626.0}}",0.8959484346224678,0.8125,0.89657223183391,0.9178825116579594,"[[113  23]
 [ 28 108]]",classifiers/EHEE_cder_rf_clf_gs_4.pickle,"['cder_models/EHEE_cder_h0_model_iteration_4.pickle', 'cder_models/EHEE_cder_h1_model_iteration_4.pickle', 'cder_models/EHEE_cder_h2_model_iteration_4.pickle']",7769.734615564346
EHEE,5,"{'train_h_0_pairs': {'green': 668.0, 'red': 656.0}, 'train_h_1_pairs': {'green': 1009.0, 'red': 972.0}, 'train_h_2_pairs': {'green': 666.0, 'red': 622.0}}","{'test_h_0_pairs': {'green': 667.0, 'red': 657.0}, 'test_h_1_pairs': {'green': 1007.0, 'red': 974.5}, 'test_h_2_pairs': {'green': 665.0, 'red': 621.0}}",0.9033149171270718,0.8088235294117647,0.8807309688581315,0.8785550079019379,"[[116  20]
 [ 32 104]]",classifiers/EHEE_cder_rf_clf_gs_5.pickle,"['cder_models/EHEE_cder_h0_model_iteration_5.pickle', 'cder_models/EHEE_cder_h1_model_iteration_5.pickle', 'cder_models/EHEE_cder_h2_model_iteration_5.pickle']",7951.865741729736
EHEE,6,"{'train_h_0_pairs': {'green': 668.0, 'red': 656.0}, 'train_h_1_pairs': {'green': 1010.0, 'red': 972.0}, 'train_h_2_pairs': {'green': 668.0, 'red': 622.0}}","{'test_h_0_pairs': {'green': 666.0, 'red': 657.5}, 'test_h_1_pairs': {'green': 1004.0, 'red': 972.5}, 'test_h_2_pairs': {'green': 660.0, 'red': 623.0}}",0.8637200736648251,0.8088235294117647,0.8738646193771626,0.85332584239539,"[[104  32]
 [ 20 116]]",classifiers/EHEE_cder_rf_clf_gs_6.pickle,"['cder_models/EHEE_cder_h0_model_iteration_6.pickle', 'cder_models/EHEE_cder_h1_model_iteration_6.pickle', 'cder_models/EHEE_cder_h2_model_iteration_6.pickle']",7737.859858512878
EHEE,7,"{'train_h_0_pairs': {'green': 668.0, 'red': 656.0}, 'train_h_1_pairs': {'green': 1008.0, 'red': 973.0}, 'train_h_2_pairs': {'green': 665.0, 'red': 623.0}}","{'test_h_0_pairs': {'green': 668.0, 'red': 657.0}, 'test_h_1_pairs': {'green': 1013.0, 'red': 970.0}, 'test_h_2_pairs': {'green': 670.0, 'red': 618.0}}",0.8830570902394107,0.875,0.9216587370242214,0.9320839512243315,"[[123  13]
 [ 21 115]]",classifiers/EHEE_cder_rf_clf_gs_7.pickle,"['cder_models/EHEE_cder_h0_model_iteration_7.pickle', 'cder_models/EHEE_cder_h1_model_iteration_7.pickle', 'cder_models/EHEE_cder_h2_model_iteration_7.pickle']",7743.421152114868
EHEE,8,"{'train_h_0_pairs': {'green': 668.0, 'red': 657.0}, 'train_h_1_pairs': {'green': 1009.0, 'red': 972.0}, 'train_h_2_pairs': {'green': 667.0, 'red': 623.0}}","{'test_h_0_pairs': {'green': 667.0, 'red': 653.5}, 'test_h_1_pairs': {'green': 1007.0, 'red': 975.0}, 'test_h_2_pairs': {'green': 663.5, 'red': 617.5}}",0.861878453038674,0.8272058823529411,0.8953287197231834,0.8873352236895325,"[[108  28]
 [ 19 117]]",classifiers/EHEE_cder_rf_clf_gs_8.pickle,"['cder_models/EHEE_cder_h0_model_iteration_8.pickle', 'cder_models/EHEE_cder_h1_model_iteration_8.pickle', 'cder_models/EHEE_cder_h2_model_iteration_8.pickle']",7728.486645936966
EHEE,9,"{'train_h_0_pairs': {'green': 667.0, 'red': 657.0}, 'train_h_1_pairs': {'green': 1009.0, 'red': 971.0}, 'train_h_2_pairs': {'green': 666.0, 'red': 622.0}}","{'test_h_0_pairs': {'green': 670.0, 'red': 654.0}, 'test_h_1_pairs': {'green': 1007.0, 'red': 974.0}, 'test_h_2_pairs': {'green': 663.5, 'red': 621.5}}",0.8950276243093923,0.8125,0.8978157439446368,0.9137109072711617,"[[117  19]
 [ 32 104]]",classifiers/EHEE_cder_rf_clf_gs_9.pickle,"['cder_models/EHEE_cder_h0_model_iteration_9.pickle', 'cder_models/EHEE_cder_h1_model_iteration_9.pickle', 'cder_models/EHEE_cder_h2_model_iteration_9.pickle']",7807.016787528992
