,Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Iteration 6,Iteration 7,Iteration 8,Iteration 9
contig_not_hp_avg,0.02680083101402071,0.013491685343587636,0.0009966782745173671,0.02636752520879883,0.019174706065247744,0.0013014508874375215,0.02010420976475284,0.016439645736975695,0.029344681021525817,0.03074647363897285
contig_not_hp_avg_norm,0.005448054488435407,0.0010824023189488937,0.0006978142657829031,0.008269106201810488,0.006080542416868773,0.0007824293124922944,0.00180063795611956,0.0009174139941225447,0.0017037477671153385,0.00415504056647253
contig_not_hp_internal_max,0.0027682321893906124,0.0008584560886502075,0.0007228642489264645,0.004033342478872861,0.002605743397878236,0.0006252724372882699,0.0005806197505021201,0.0007546256005092525,0.0013672408645206877,0.0022952292358783878
contig_not_hp_max,0.002755374463979787,0.0008721995704608774,0.0007375077811376953,0.0033876148443164485,0.002641650289030291,0.0007003705068957547,0.000823223356283801,0.0008398384591740895,0.0010117172626609,0.002132627884099672
degree,0.001315505004071682,0.002447915227776646,0.0029649860332730676,0.0029480850663973646,0.003032923838962619,0.002362164877390463,0.002011510070229481,0.0021391454272489964,0.001485657410754902,0.002327996410344494
dslf_fa13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exposed_hydrophobics,0.01629653116068729,0.0022857681536713266,0.0017311472254928951,0.017649984344044342,0.01865877058561067,0.0013799425984305244,0.012456150387933226,0.005325392451318212,0.011838978761814296,0.01791824204417426
exposed_np_AFILMVWY,0.03984889076900675,0.0444052078484509,0.007062360041349522,0.030853129859961283,0.03538739267357474,0.03925248192557952,0.04312911706323128,0.052821384159811365,0.04836819036166683,0.04341366021870392
exposed_polars,0.0038465280639512754,0.009406792203882242,0.008005031968945796,0.005223136722827225,0.005380835410209721,0.007245358488384099,0.0053932423526902185,0.008560465166831054,0.0055937482163820424,0.00516162960750248
exposed_total,0.006084448812743013,0.013348968233841829,0.018042990079861,0.007724152977006931,0.008466189423518119,0.01381885135110691,0.010118395461362825,0.015048915156568424,0.007256384217621033,0.007738375705196275
fa_atr,0.006540414590295394,0.0051845488957784945,0.0020361100418708317,0.008312551035826793,0.008261193519881674,0.004810988483246567,0.005308539764146136,0.004841979411258727,0.006222280629895145,0.006721170294381818
fa_atr_per_res,0.007362402230203704,0.005484282306983272,0.002260576503154227,0.007855781505373402,0.008508757517905776,0.004766303638298734,0.0051012679804846115,0.004826059604465505,0.00574766425724943,0.006605446896186426
fa_dun_dev,0.007338477656573463,0.006445829854437099,0.009204930383100352,0.008522107036546895,0.010723902231825195,0.004098745954675322,0.005589326065772019,0.004909007006071061,0.005676531228725528,0.007432775348649219
fa_dun_rot,0.0035109836140411544,0.005206140910322032,0.004629599578188538,0.0051436834975946795,0.0048239363748404825,0.00555747829403119,0.003575914335396079,0.004755743840500003,0.004047051459111938,0.004295875160048911
fa_dun_semi,0.002959631693049992,0.0025371031796367887,0.00271531599940851,0.003970849888488477,0.0039187690029714,0.002341611870782248,0.002534762065099142,0.0023738529181716113,0.0026549529897872282,0.003592604302294889
fa_elec,0.010766077910945516,0.002548917686066331,0.0019148097815717285,0.009218743137445152,0.010466101577842338,0.001919338326976149,0.004691601459654492,0.002234914152532675,0.0066104415767046145,0.008148245036440028
fa_intra_atr_xover4,0.0038025207347635007,0.003407850930003903,0.0027871412288555967,0.005996363462743911,0.004737836046135705,0.004557046468261885,0.003453452399351615,0.0026682410166201744,0.004238227687402054,0.00442261428781245
fa_intra_elec,0.003585421207757298,0.002572929255965632,0.003276847082111739,0.004889706595105851,0.003444170023236716,0.0019454804064593825,0.002284661677710377,0.0019701301435154387,0.003076421104312641,0.003310763319223732
fa_intra_rep_xover4,0.003340295084019326,0.002735571791023168,0.00395741001884227,0.0049805363174058506,0.004246734993520833,0.0016919289259728022,0.00263210207487792,0.0022066363232304646,0.0027242415118714316,0.0034391182869658796
fa_intra_sol_xover4,0.004879150907259315,0.0021171684367952085,0.0023024349388229078,0.007575560974126076,0.006440444466661082,0.0013661716938900132,0.002438547784574518,0.0013888484683745924,0.002657647869289383,0.0059099393534406035
fa_rep,0.007191027859778937,0.002208959521164125,0.0012294126960717855,0.00867651979259827,0.009621809510595755,0.0013349302712075478,0.002318872568691392,0.0021312189452827057,0.0038219522738890703,0.006905439633846702
fa_rep_per_res,0.008995448453295177,0.0026742310641494093,0.0012891714123459722,0.00961518012439487,0.007696588883130853,0.0012498005676257347,0.0030485927438950963,0.002284438186462739,0.0040538945573698176,0.007587141670997261
fa_sol,0.023191415108977466,0.005430851880004505,0.001765873344164189,0.022056354762811176,0.020075897858438604,0.001975198117145519,0.012989577782798974,0.004933012927992317,0.019778532066246263,0.026637459279595162
frac_helix,0.0020435407227878755,0.000500896234861674,0.00019406957160180671,0.00272207772664796,0.0014335965076854994,0.00020508862699115265,0.0002864472493131023,0.00025601051715389846,0.00042959039036264443,0.0011508633950435604
frac_loop,0.0013080102991546376,0.0006086409419598976,0.00018363710948881087,0.0023259012168899054,0.0015951171616485774,0.0003751011170295804,0.00047822754842598964,0.00037869949401484235,0.0007177291950496572,0.0013603618841145952
frac_sheet,0.0012785100855248822,0.000571193773597849,0.0003751808545937598,0.0021421268574945964,0.0020450574668609014,0.0009102465148455098,0.0006008381134268623,0.0007021819532130359,0.0007952784404992503,0.0013688852669905421
