,Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Iteration 6,Iteration 7,Iteration 8,Iteration 9
degree,0.0038431172835189974,0.006445031061867404,0.007034601123945526,0.005740543825730123,0.002457642798288036,0.004441170900411132,0.004841092798959477,0.00496475807174374,0.0063013345444832254,0.004247537021140165
dslf_fa13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exposed_hydrophobics,0.0039002021670438303,0.005445847781927498,0.005103503164266106,0.003941431907323313,0.0035898628710931257,0.003082782992183544,0.005286474101502558,0.004799040817378486,0.0027835682668600928,0.004686980653476863
exposed_np_AFILMVWY,0.004885935664947067,0.007256631127736559,0.0065126901787345105,0.0058040716250519105,0.004235556277225448,0.0036550897550895033,0.007347924525086925,0.006154927017755604,0.005215569414519819,0.005427536147920854
exposed_polars,0.010100125399939259,0.011506702224331119,0.01072891201546143,0.010660270799742699,0.010645307844106146,0.010192175266636246,0.012276167190064403,0.008619979582970639,0.011246876849246495,0.0123564724170533
exposed_total,0.009316540093643324,0.00935230013115763,0.010987377365286918,0.008858629545365876,0.009942517889794516,0.01020998218923725,0.009759029681263586,0.009795410773826188,0.009982548267636596,0.011276418069423092
fa_atr,0.004505121803857551,0.006588139417616592,0.005884219198521847,0.005364999537174871,0.0035853795154180616,0.004056735012013521,0.005070045974760889,0.00543688130562938,0.00268486441819804,0.004986397627464052
fa_atr_per_res,0.004311063013900323,0.006976611936270314,0.005751925438144561,0.005206833144442013,0.0038986759454044356,0.004268580277521037,0.005387166637227658,0.005358590962478367,0.0029989426740236434,0.0049574708358559524
fa_dun_dev,0.0072422313635361205,0.008214718620663648,0.009888514026789641,0.008114867824716763,0.005637741718516287,0.005721717255528611,0.008735383134700417,0.008319303538402541,0.006984763714144426,0.008087604989774722
fa_dun_rot,0.007683960959980067,0.010149114447894233,0.009042784236683183,0.006071959551065184,0.006929797397119728,0.007632960310930973,0.007729608214524588,0.012801937161600418,0.0077885666179841415,0.007347533428665113
fa_dun_semi,0.005000848347681372,0.0075992976605502695,0.006164050807436419,0.005020808183028612,0.004111837780740879,0.003417181521146333,0.0066301192449692995,0.006314528849571384,0.004697054553706599,0.005914170751006604
fa_elec,0.005361096672319523,0.005926562865979445,0.005776015873191836,0.005313736437810523,0.004310171008964546,0.004388905318939981,0.00586314669283968,0.006178707594015319,0.004733363029198882,0.004698887627263409
fa_intra_atr_xover4,0.008553008445637734,0.008797905118892318,0.009059441772339088,0.010056880461767273,0.00842253325849308,0.007925220336458942,0.01056923887950545,0.009789473859040344,0.014014715541907995,0.01422130798850847
fa_intra_elec,0.010058813997915177,0.009758328738071842,0.010616861109783762,0.00710297644278854,0.006200054570859038,0.009150250987484931,0.009485367836233395,0.009689262776179978,0.010210248230768356,0.009037544378185068
fa_intra_rep_xover4,0.005122638234217869,0.007613551008568663,0.008357209591937958,0.00633832591845066,0.004143126694702179,0.006063788538913733,0.00819851739226935,0.008816668098916793,0.006034679162278037,0.006333470658320806
fa_intra_sol_xover4,0.004875843942239201,0.00551515925951752,0.0052726256645608234,0.0041346087004730065,0.003923029468633592,0.00340672665020137,0.0054895355722276926,0.005514296210144386,0.0038377141838914688,0.0057763330673261636
fa_rep,0.0049874988617930795,0.005726034470417331,0.005851700886520734,0.00533007388512171,0.003907052232819004,0.0037633539798206175,0.005443128404112374,0.005349435161855934,0.003951015140627979,0.005614330760839124
fa_rep_per_res,0.005102094466282502,0.005448891680458124,0.00566001576813973,0.005329498984472777,0.004257912297873755,0.0037638177015300355,0.005646780421390071,0.005461025597488755,0.004446598510790204,0.005797834645273642
fa_sol,0.003814194534929654,0.005177900518910581,0.004716044181838134,0.003861501743684608,0.0035287500453781086,0.002741840595456753,0.004473177392313523,0.005009620955217846,0.002712040212444354,0.003848194281320986
frac_helix,0.00043543842278242925,0.0009626665676153834,0.0009424991266595116,0.0005885430787746619,0.00041395177801811843,0.0007014361142841872,0.000992131778130406,0.0008775446456566841,0.00043182067447647377,0.0005426123903265347
frac_loop,0.0005529923495905929,0.0011653099330441923,0.0009911123811726223,0.0005899677298243582,0.0003973913765269371,0.0006505959540361534,0.0009056231592280561,0.000903562360077317,0.0004886517874561163,0.0005939157374811062
frac_sheet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
